Model,Delta_Time,Sample_Rate,MCC,Test_score
DT,30,0.5,0.380106476552151,0.33609973352187983
DT,45,0.5,0.3799149738498068,0.3019720029821578
DT,60,0.5,0.499525455846173,0.14767007690423684
DT,75,0.5,0.19193682297642672,-0.45226701686664544
DT,90,0.5,0.46441475140149446,0.23904572186687872
DT,105,0.5,0.14553854698166147,-0.07905694150420949
DT,120,0.5,0.4208663076028623,-0.4879500364742666
DT,135,0.5,0.3921243971263158,-0.09128709291752768
DT,150,0.5,0.19261500886465627,-0.4472135954999579
DT,165,0.5,0.22127787431041743,-0.4082482904638631
DT,180,0.5,0.13333333333333336,-0.5773502691896258
DT,15,1.0,0.27723779530611037,0.15706945419420965
DT,30,1.0,0.38341623342757103,0.24907828542960225
DT,45,1.0,0.38425218919542237,0.06378033445222504
DT,60,1.0,0.397714777163268,0.2689685595408976
DT,75,1.0,0.3102202019689987,0.35355339059327373
DT,90,1.0,0.4545220015620283,0.4800793585191832
DT,105,1.0,0.22510532458008897,-0.025482359571881278
DT,120,1.0,0.3030520258011077,-0.2548235957188128
DT,135,1.0,0.5347250957676775,0.4
DT,150,1.0,0.29386080484203425,-0.4472135954999579
DT,165,1.0,0.16498299142610595,-0.4082482904638631
DT,180,1.0,0.11547005383792516,-0.5773502691896258
DT,15,2.0,0.2774924091395815,0.21403685048596874
DT,30,2.0,0.3395291753289359,0.1573539776317337
DT,45,2.0,0.3603139788606061,0.11095342628788053
DT,60,2.0,0.42771681704015074,0.09332565252573828
DT,75,2.0,0.24849662201204376,0.3043903887640505
DT,90,2.0,0.48676101292201485,0.4800793585191832
DT,105,2.0,0.26501045077689933,0.05547001962252291
DT,120,2.0,0.41211238770773273,-0.29277002188455997
DT,135,2.0,0.25302137179338235,-0.09128709291752768
DT,150,2.0,0.17475468957064283,-0.4472135954999579
DT,165,2.0,0.31329931618554524,-0.6666666666666666
DT,180,2.0,0.06666666666666667,1.0
DT,15,3.0,0.3102539146139133,0.17196098467185306
DT,30,3.0,0.3468481205654159,0.20129399305260778
DT,45,3.0,0.447093231891672,0.004876960942054545
DT,60,3.0,0.37135017517717883,0.10776318121606494
DT,75,3.0,0.3417489248852342,0.09335200560186732
DT,90,3.0,0.3687912123682445,0.30550504633038933
DT,105,3.0,0.3598038742627844,0.025482359571881278
DT,120,3.0,0.5242640674749287,-0.2608745973749754
DT,135,3.0,0.2460593486680443,0.0
DT,150,3.0,0.3414213562373095,-0.4472135954999579
DT,165,3.0,0.22247448713915893,-0.6666666666666666
DT,180,3.0,0.297606774342517,0.5773502691896258
DT,15,5.0,0.26961744463725534,0.08199250388516581
DT,30,5.0,0.32346333916025855,0.10309154832082214
DT,45,5.0,0.33757419816643336,0.08815132508545165
DT,60,5.0,0.3765477927871444,0.07573912427965179
DT,75,5.0,0.454948109609981,0.14484136487558028
DT,90,5.0,0.45515745102699706,0.23904572186687872
DT,105,5.0,0.2005404560115454,-0.2091650066335189
DT,120,5.0,0.34083570555124776,-0.11952286093343936
DT,135,5.0,0.16925695879998875,-0.5477225575051661
DT,150,5.0,0.46389584337646844,-0.4472135954999579
DT,165,5.0,0.7534145948150093,-0.6666666666666666
DT,180,5.0,0.5154700538379251,0.0
KNN,15,0.5,0.4995845246588056,0.08572322141104327
KNN,30,0.5,0.5427272790835256,0.039112799401924324
KNN,45,0.5,0.5200360219709429,0.1452346220472894
KNN,60,0.5,0.49776802540898124,0.11020961260989717
KNN,75,0.5,0.3626681596164626,0.09335200560186732
KNN,90,0.5,0.32280507644284634,-0.04364357804719848
KNN,105,0.5,0.3836500431003926,-0.05976143046671968
KNN,120,0.5,0.345428482966884,-0.4879500364742666
KNN,135,0.5,0.47110036413564,-1.0
KNN,150,0.5,0.29657990792334693,-0.4472135954999579
KNN,165,0.5,0.21498299142610594,-0.4082482904638631
KNN,180,0.5,0.0,-0.5773502691896258
KNN,15,1.0,0.5064406795896327,0.0912391543807248
KNN,30,1.0,0.5627449446794484,0.16035017655515704
KNN,45,1.0,0.39687058771031186,0.05803995731715249
KNN,60,1.0,0.4543837734123432,0.1151570184479054
KNN,75,1.0,0.3968109342961402,-0.11785113019775792
KNN,90,1.0,0.43133871999483586,-0.20143542511732357
KNN,105,1.0,0.32100931258590937,-0.2
KNN,120,1.0,0.31718396285210115,-0.5976143046671968
KNN,135,1.0,0.4892014608295474,-1.0
KNN,150,1.0,0.47888543819998314,-0.4472135954999579
KNN,165,1.0,0.0,-0.4082482904638631
KNN,180,1.0,0.18213672050459184,-0.5773502691896258
KNN,15,2.0,0.5258486910250394,0.07541857317592575
KNN,30,2.0,0.6089969227104625,0.12583917098935699
KNN,45,2.0,0.4463762261140557,0.09029347613305583
KNN,60,2.0,0.5240213311429717,-0.16558919000389882
KNN,75,2.0,0.41881330540722334,-0.0468292905790847
KNN,90,2.0,0.39122001479492435,-0.20143542511732357
KNN,105,2.0,0.40198129188333126,0.15811388300841897
KNN,120,2.0,0.4570907025487285,-0.23904572186687872
KNN,135,2.0,0.38851391759997755,-1.0
KNN,150,2.0,0.22643836481120352,-0.4472135954999579
KNN,165,2.0,0.19711971193069777,0.16666666666666666
KNN,180,2.0,0.26666666666666666,0.0
KNN,15,3.0,0.4668848859886152,0.01622851825186163
KNN,30,3.0,0.5288036209072018,0.08811175995773159
KNN,45,3.0,0.3982114770135391,0.04353499224471726
KNN,60,3.0,0.4192933000480302,-0.281068465842299
KNN,75,3.0,0.433265249904335,-0.14002800840280097
KNN,90,3.0,0.4192705608594355,-0.21821789023599236
KNN,105,3.0,0.3274081414461142,0.05547001962252291
KNN,120,3.0,0.5399072275883567,-0.06900655593423542
KNN,135,3.0,0.5199855040048599,-1.0
KNN,150,3.0,0.23457912931071134,-0.4472135954999579
KNN,165,3.0,0.08164965809277261,0.16666666666666666
KNN,180,3.0,0.2,0.0
KNN,15,5.0,0.5089736452020391,0.05729613061767955
KNN,30,5.0,0.5550811739217848,0.05038434892610618
KNN,45,5.0,0.5234698655001802,0.11569078161081796
KNN,60,5.0,0.4529871220192646,-0.011612903225806452
KNN,75,5.0,0.3630212133630052,-0.02333800140046683
KNN,90,5.0,0.48143972965252635,-0.29277002188455997
KNN,105,5.0,0.22450946957946546,0.15811388300841897
KNN,120,5.0,0.3432353300863794,-0.1690308509457033
KNN,135,5.0,0.45578667692818964,-1.0
KNN,150,5.0,0.36419740867063444,-0.4472135954999579
KNN,165,5.0,0.21547005383792514,-0.4082482904638631
KNN,180,5.0,0.2488033871712585,0.0
